county,year,commission
Adair County,2014,49723.28
Allen County,2014,53374.93
Ballard County,2014,7649.31
Barren County,2014,46653.63
Bell County,2014,8929.45
Boone County,2014,178558.91
Bourbon County,2014,2652.94
Boyd County,2014,40705.95
Boyle County,2014,108361.52
Bullitt County,2014,83553.67
Butler County,2014,15573.63
Caldwell County,2014,4200.25
Calloway County,2014,63624.03
Campbell County,2014,351079.1
Carroll County,2014,19926.91
Carter County,2014,27234.09
Casey County,2014,101248.04
Christian County,2014,273045.26
Clay County,2014,17676.88
Clinton County,2014,639.04
Crittenden County,2014,
Daviess County,2014,310914.8
Estill County,2014,1050.84
Floyd County,2014,23343.38
Franklin County,2014,131632.14
Fulton County,2014,102427.26
Grant County,2014,76851.2
Graves County,2014,
Grayson County,2014,406443.22
Greenup County,2014,28330.12
Hardin County,2014,95883.96
Harlan County,2014,232.58
Hart County,2014,
Henderson County,2014,256968.92
Hickman County,2014,16199.98
Hopkins County,2014,135645.07
Jessamine County,2014,40487.39
Kenton County,2014,298259.82
Knox County,2014,21279.94
Larue County,2014,32934.97
Leslie County,2014,20424.64
Letcher County,2014,6159.62
Lewis County,2014,19236.78
Lincoln County,2014,40425.5
Logan County,2014,86996.96
Madison County,2014,112696.78
Magoffin County,2014,1505
Marion County,2014,135985.11
Marshall County,2014,51200.7
Mason County,2014,80566.97
McCracken County,2014,255105.72
McCreary County,2014,
Meade County,2014,37039.27
Monroe County,2014,12113.51
Montgomery County,2014,
Muhlenberg County,2014,127378.28
Nelson County,2014,16878.37
Nicholas County,2014,
Ohio County,2014,14055.54
Oldham County,2014,36843.58
Powell County,2014,32768.45
Pulaski County,2014,29070.45
Rockcastle County,2014,7057.46
Rowan County,2014,14386.94
Russell County,2014,51396.81
Scott County,2014,23576.08
Shelby County,2014,170760.14
Simpson County,2014,82818.66
Taylor County,2014,50254.54
Todd County,2014,50086.75
Union County,2014,10338.95
Warren County,2014,448818.73
Wayne County,2014,16874.52
Webster County,2014,61440.23
Whitley County,2014,26271.67
Woodford County,2014,64812.24
Statewide,2014,5628641.36
Adair County,2015,44230.42
Allen County,2015,31233.43
Ballard County,2015,33254.51
Barren County,2015,42721.4
Bell County,2015,10622.81
Boone County,2015,189539.36
Bourbon County,2015,2840.08
Boyd County,2015,17675.24
Boyle County,2015,145317.54
Bullitt County,2015,101798.36
Butler County,2015,23247.47
Caldwell County,2015,2908.87
Calloway County,2015,81838.52
Campbell County,2015,387616.77
Carroll County,2015,27503.7
Carter County,2015,6608.61
Casey County,2015,103497.24
Christian County,2015,337227.76
Clay County,2015,18502.05
Clinton County,2015,891.14
Crittenden County,2015,37474.59
Daviess County,2015,328477.64
Estill County,2015,12067.65
Floyd County,2015,18821.54
Franklin County,2015,117729.78
Fulton County,2015,147795.07
Grant County,2015,76745.16
Graves County,2015,
Grayson County,2015,486763.37
Greenup County,2015,21072.95
Hardin County,2015,68887.61
Harlan County,2015,21732.48
Hart County,2015,
Henderson County,2015,359034.56
Hickman County,2015,23893.64
Hopkins County,2015,153289.86
Jessamine County,2015,35105.65
Kenton County,2015,355351.94
Knox County,2015,24449.58
Larue County,2015,62570.96
Leslie County,2015,27386.76
Letcher County,2015,12259.21
Lewis County,2015,17860.79
Lincoln County,2015,46757.23
Logan County,2015,88085.67
Madison County,2015,124494.68
Magoffin County,2015,
Marion County,2015,115100.13
Marshall County,2015,75887.92
Mason County,2015,78527.74
McCracken County,2015,322590.63
McCreary County,2015,
Meade County,2015,152284.26
Monroe County,2015,7379.66
Montgomery County,2015,
Muhlenberg County,2015,136673.98
Nelson County,2015,15163.71
Nicholas County,2015,
Ohio County,2015,8420.28
Oldham County,2015,60974.85
Powell County,2015,28152.58
Pulaski County,2015,27106.3
Rockcastle County,2015,7110.28
Rowan County,2015,15385.39
Russell County,2015,47286.3
Scott County,2015,20947.97
Shelby County,2015,254353.29
Simpson County,2015,255253.3
Taylor County,2015,55770.05
Todd County,2015,54162.79
Union County,2015,15110.06
Warren County,2015,915813.19
Wayne County,2015,16516.57
Webster County,2015,47820.66
Whitley County,2015,25119.74
Woodford County,2015,59677.79
Statewide,2015,7095773.07
Adair County,2016,41826.17
Allen County,2016,18277.12
Ballard County,2016,28943.54
Barren County,2016,48172.19
Bell County,2016,12297.84
Boone County,2016,168693.68
Bourbon County,2016,1986.17
Boyd County,2016,18402.52
Boyle County,2016,113137.32
Bullitt County,2016,100530.16
Butler County,2016,12365.09
Caldwell County,2016,4299.6
Calloway County,2016,89131.8
Campbell County,2016,322669.09
Carroll County,2016,31041.96
Carter County,2016,41159.52
Casey County,2016,96563.86
Christian County,2016,284003.49
Clay County,2016,113365.57
Clinton County,2016,1599.08
Crittenden County,2016,24887.45
Daviess County,2016,303865.5
Estill County,2016,834.85
Floyd County,2016,37899.02
Franklin County,2016,112477.31
Fulton County,2016,180568.34
Grant County,2016,115938.65
Graves County,2016,
Grayson County,2016,485186.26
Greenup County,2016,130111.25
Hardin County,2016,114607.56
Harlan County,2016,73991.72
Hart County,2016,
Henderson County,2016,316607.36
Hickman County,2016,5680.8
Hopkins County,2016,128827.75
Jessamine County,2016,44907.54
Kenton County,2016,318874.83
Knox County,2016,15808.71
Larue County,2016,53440.76
Leslie County,2016,19427.9
Letcher County,2016,25747.82
Lewis County,2016,15997.45
Lincoln County,2016,38945.78
Logan County,2016,141434.38
Madison County,2016,124929.67
Magoffin County,2016,
Marion County,2016,105329.32
Marshall County,2016,54837.23
Mason County,2016,74346.88
McCracken County,2016,243494.82
McCreary County,2016,
Meade County,2016,47722.13
Monroe County,2016,8450.55
Montgomery County,2016,21786.82
Muhlenberg County,2016,147263.9
Nelson County,2016,18278.8
Nicholas County,2016,
Ohio County,2016,11416.12
Oldham County,2016,80187.45
Powell County,2016,32631.79
Pulaski County,2016,35763.27
Rockcastle County,2016,
Rowan County,2016,18932.35
Russell County,2016,44014.64
Scott County,2016,24382.94
Shelby County,2016,179383.92
Simpson County,2016,94599.88
Taylor County,2016,59304.88
Todd County,2016,58442.34
Union County,2016,9959.54
Warren County,2016,605218.51
Wayne County,2016,20983.73
Webster County,2016,103924.17
Whitley County,2016,45493.65
Woodford County,2016,58934.32
Statewide,2016,6584548.38
Adair County,2017,43586.69
Allen County,2017,20036.53
Ballard County,2017,27675.87
Barren County,2017,30072.84
Bell County,2017,29995.84
Boone County,2017,209512.27
Bourbon County,2017,2276.93
Boyd County,2017,21519.27
Boyle County,2017,106112.68
Bullitt County,2017,84982.87
Butler County,2017,
Caldwell County,2017,5114.02
Calloway County,2017,101727.89
Campbell County,2017,294432.4
Carroll County,2017,66249.09
Carter County,2017,125228.03
Casey County,2017,92828.19
Christian County,2017,250736.67
Clay County,2017,44702.55
Clinton County,2017,1333.8
Crittenden County,2017,22421.78
Daviess County,2017,265379.24
Estill County,2017,
Floyd County,2017,1422.45
Franklin County,2017,160816.19
Fulton County,2017,158877.92
Grant County,2017,78690.15
Graves County,2017,
Grayson County,2017,483942.52
Greenup County,2017,
Hardin County,2017,160334.29
Harlan County,2017,64196.63
Hart County,2017,
Henderson County,2017,317202.79
Hickman County,2017,
Hopkins County,2017,116649.19
Jessamine County,2017,42112.74
Kenton County,2017,361798.56
Knox County,2017,13539.96
Larue County,2017,61342.49
Leslie County,2017,26503.78
Letcher County,2017,13045.12
Lewis County,2017,18851.18
Lincoln County,2017,70399.41
Logan County,2017,145779.39
Madison County,2017,109208.43
Magoffin County,2017,
Marion County,2017,87787.24
Marshall County,2017,77977.51
Mason County,2017,77229.36
McCracken County,2017,246458.42
McCreary County,2017,
Meade County,2017,53041.39
Monroe County,2017,1726.5
Montgomery County,2017,56127.48
Muhlenberg County,2017,160728.36
Nelson County,2017,15154.47
Nicholas County,2017,
Ohio County,2017,22090.57
Oldham County,2017,104537.79
Powell County,2017,22664.4
Pulaski County,2017,44979.6
Rockcastle County,2017,34027.06
Rowan County,2017,24448
Russell County,2017,51248.89
Scott County,2017,25978.15
Shelby County,2017,177616.63
Simpson County,2017,90409.89
Taylor County,2017,69778.4
Todd County,2017,52589.17
Union County,2017,6749.74
Warren County,2017,558216.83
Wayne County,2017,58254.77
Webster County,2017,120869.88
Whitley County,2017,52996.17
Woodford County,2017,63417.94
Statewide,2017,6607743.25
Adair County,2018,42865.87
Allen County,2018,21758.22
Ballard County,2018,31094.43
Barren County,2018,36022.13
Bell County,2018,35395.77
Boone County,2018,181576.32
Bourbon County,2018,11616.25
Boyd County,2018,21950.33
Boyle County,2018,97624.35
Bullitt County,2018,105615.61
Butler County,2018,15467.49
Caldwell County,2018,12129.94
Calloway County,2018,98468.69
Campbell County,2018,382074.11
Carroll County,2018,33182.6
Carter County,2018,71995.02
Casey County,2018,73301.65
Christian County,2018,185479.8
Clay County,2018,31316.97
Clinton County,2018,353.06
Crittenden County,2018,2135.91
Daviess County,2018,261881.84
Estill County,2018,
Floyd County,2018,8480.12
Franklin County,2018,211585.64
Fulton County,2018,161930.77
Grant County,2018,133883.96
Graves County,2018,62030.91
Grayson County,2018,482158.88
Greenup County,2018,31006.01
Hardin County,2018,169478.53
Harlan County,2018,54125.08
Hart County,2018,
Henderson County,2018,312009.99
Hickman County,2018,
Hopkins County,2018,160465.28
Jessamine County,2018,46510.94
Kenton County,2018,364555.42
Knox County,2018,17519.48
Larue County,2018,76123.29
Leslie County,2018,21294.9
Letcher County,2018,20671.24
Lewis County,2018,16805.89
Lincoln County,2018,49766.76
Logan County,2018,157680.73
Madison County,2018,97839.57
Magoffin County,2018,
Marion County,2018,76209.29
Marshall County,2018,86087.24
Mason County,2018,77072.51
McCracken County,2018,227349.24
McCreary County,2018,
Meade County,2018,49424.76
Monroe County,2018,
Montgomery County,2018,74041.02
Muhlenberg County,2018,206953.06
Nelson County,2018,8044.97
Nicholas County,2018,
Ohio County,2018,26961.68
Oldham County,2018,100317.5
Powell County,2018,43223.78
Pulaski County,2018,13809.77
Rockcastle County,2018,39975.41
Rowan County,2018,18949.94
Russell County,2018,52357.87
Scott County,2018,25736.65
Shelby County,2018,169330.62
Simpson County,2018,84241.12
Taylor County,2018,46178.62
Todd County,2018,66030.95
Union County,2018,10914.5
Warren County,2018,558459.85
Wayne County,2018,58520.08
Webster County,2018,139416.54
Whitley County,2018,46303.89
Woodford County,2018,59753.31
Statewide,2018,6774893.92
Adair County,2019,40002.09
Allen County,2019,7975.37
Ballard County,2019,26775.62
Barren County,2019,35969.49
Bell County,2019,50996.85
Boone County,2019,182552.95
Bourbon County,2019,16537.49
Boyd County,2019,
Boyle County,2019,72294.06
Bullitt County,2019,125109.84
Butler County,2019,21294.72
Caldwell County,2019,14761.34
Calloway County,2019,65030.35
Campbell County,2019,318840.3
Carroll County,2019,24792.76
Carter County,2019,186104.44
Casey County,2019,65167.18
Christian County,2019,225097.66
Clay County,2019,27957.68
Clinton County,2019,2245.88
Crittenden County,2019,96988.44
Daviess County,2019,197576.07
Estill County,2019,
Floyd County,2019,42750.69
Franklin County,2019,214209.05
Fulton County,2019,220064.31
Grant County,2019,133743.59
Graves County,2019,67891.13
Grayson County,2019,459243.13
Greenup County,2019,35953.46
Hardin County,2019,347170.35
Harlan County,2019,39969.72
Hart County,2019,
Henderson County,2019,334691.46
Hickman County,2019,
Hopkins County,2019,165283.95
Jessamine County,2019,35911.01
Kenton County,2019,379238.38
Knox County,2019,14806.48
Larue County,2019,66619.47
Leslie County,2019,
Letcher County,2019,19178.47
Lewis County,2019,18505.65
Lincoln County,2019,46160.89
Logan County,2019,31103.33
Madison County,2019,97562.85
Magoffin County,2019,
Marion County,2019,61554.28
Marshall County,2019,85820.52
Mason County,2019,82258.13
McCracken County,2019,193259.51
McCreary County,2019,
Meade County,2019,38266.33
Monroe County,2019,
Montgomery County,2019,52592.77
Muhlenberg County,2019,157505.16
Nelson County,2019,
Nicholas County,2019,
Ohio County,2019,15912.83
Oldham County,2019,189151.49
Powell County,2019,115097.71
Pulaski County,2019,37410.74
Rockcastle County,2019,31263.77
Rowan County,2019,55340.99
Russell County,2019,44252.58
Scott County,2019,23200.13
Shelby County,2019,125796.82
Simpson County,2019,170280.11
Taylor County,2019,50960.73
Todd County,2019,52953.63
Union County,2019,10083.44
Warren County,2019,453928.82
Wayne County,2019,54165.45
Webster County,2019,133098.9
Whitley County,2019,44851.53
Woodford County,2019,53366.01
Statewide,2019,6906500.33
Adair County,2020,36137.28
Allen County,2020,9295.55
Ballard County,2020,25058.67
Barren County,2020,34691.89
Bell County,2020,44263.17
Boone County,2020,153448.56
Bourbon County,2020,15174.85
Boyd County,2020,7238.04
Boyle County,2020,65187.54
Bullitt County,2020,118314.59
Butler County,2020,22748.08
Caldwell County,2020,13539.67
Calloway County,2020,46254.35
Campbell County,2020,327521.34
Carroll County,2020,44837.87
Carter County,2020,96193.13
Casey County,2020,79859.56
Christian County,2020,393359.6
Clay County,2020,88862.03
Clinton County,2020,1401.59
Crittenden County,2020,84891.95
Daviess County,2020,300780.15
Estill County,2020,
Floyd County,2020,10547.96
Franklin County,2020,216060.04
Fulton County,2020,184098.78
Grant County,2020,81091.77
Graves County,2020,22127.12
Grayson County,2020,496762.34
Greenup County,2020,29324.96
Hardin County,2020,365273.14
Harlan County,2020,82357.87
Hart County,2020,202081.98
Henderson County,2020,470301.69
Hickman County,2020,
Hopkins County,2020,145433.28
Jessamine County,2020,43460.77
Kenton County,2020,344438.5
Knox County,2020,42337.58
Larue County,2020,47067.06
Leslie County,2020,
Letcher County,2020,16191.45
Lewis County,2020,17013.91
Lincoln County,2020,76469.92
Logan County,2020,27970.89
Madison County,2020,110000
Magoffin County,2020,
Marion County,2020,67904.2
Marshall County,2020,92939.19
Mason County,2020,58036.55
McCracken County,2020,227910.9
McCreary County,2020,
Meade County,2020,42000
Monroe County,2020,
Montgomery County,2020,60319.74
Muhlenberg County,2020,138854.3
Nelson County,2020,8924.79
Nicholas County,2020,
Ohio County,2020,12918.52
Oldham County,2020,231523.01
Powell County,2020,128117.36
Pulaski County,2020,55499.48
Rockcastle County,2020,40700.82
Rowan County,2020,104658.06
Russell County,2020,44443.08
Scott County,2020,37537.61
Shelby County,2020,111471.19
Simpson County,2020,78955.44
Taylor County,2020,43339.24
Todd County,2020,66719.53
Union County,2020,7504.21
Warren County,2020,533144.85
Wayne County,2020,80616.46
Webster County,2020,90992.67
Whitley County,2020,56956.1
Woodford County,2020,64954.66
Statewide,2020,7526412.43